,,,,123,1:58.79,Adam Rowe,Smith-Cotton,,123,2:14.12,Dev Desai,John Burroughs,,123,23.78,Anton Schuetz,Christian Brothers College,,123,59.47,Isaac Stewart,Park Hill,,123,52.54,Rowan George,Monett,,123,5:31.73,Cameron House,Kirkwood,,,,,,123,1:02.32,Edwards Tate,Rock Bridge,,123,1:09.46,Brady Scamman,Park Hill,,,,,
,,,,124,1:58.86,Samuel Wilkins,Glendale,,124,2:14.30,Daniel Sattler,Marquette,,124,23.79,Hunter Johnson,Camdenton,,124,59.50,Trevor Sifers,Rockhurst,,124,52.57,Henry Hassenstab,SLUH,,124,5:31.77,"John Dohm, III",MICDS,,,,,,124,1:02.35,Wyatt Grant,Pembroke Hill,,124,1:09.51,Joe Esposito,John Burroughs,,,,,
,,,,125,1:58.89,John Salido,Rockhurst,,125,2:14.31,Trevor Bundy,Liberty North,,125,23.81,Cormac Ward,Chaminade College Prep,,125,59.60,Tobias White,Battle,,125,52.59,Mason Naseem,Liberty,,125,5:32.23,Davis Foster,Rockhurst,,,,,,125,1:02.39,Aidan Eastman,Lutheran St. Charles,,125,1:09.52,Henry Hassenstab,SLUH,,,,,
,,,,126,1:58.90,Blake Hallsten,Oakville,,126,2:14.32,Aarav Sade,Francis Howell,,126,23.81,Finn Hoffman,Lee's Summit West,,126,59.62,Carter Reece,Blue Springs South,,126,52.64,Sean Greenwood,Lindbergh,,126,5:32.94,Theodore Jones,Oakville,,,,,,126,1:02.52,Dev Desai,John Burroughs,,126,1:09.55,Bennett Freeman,Kearney,,,,,
,,,,127,1:58.96,Myles Huey,Liberty,,127,2:14.34,Blake Flynn,Marquette,,127,23.81,Luke Williams,Lee's Summit North,,127,59.66,Owen Eyink,Hickman,,127,52.65,Henry Clark,Lee's Summit,,127,5:32.98,Richard Hoover,Park Hill,,,,,,127,1:02.53,Elijah Gardner,Hillcrest,,127,1:09.69,Evan Snarey,Monett,,,,,
,,,,128,1:58.96,Christian Chang,John Burroughs,,128,2:14.68,Richard VanAntwerp,Central (Springfield),,128,23.81,Jayden Boyd,Ozark,,128,59.66,Elijah Gardner,Hillcrest,,128,52.69,Landon Gillis,Lee's Summit West,,128,5:33.12,Benjamin Pursell,Notre Dame (Cape Girardeau),,,,,,128,1:02.55,Owen Bland,Rockhurst,,128,1:09.76,Andrew Thomadsen,Ladue Horton Watkins,,,,,
,,,,129,1:58.98,"Jason Kraft, Jr.",Westminster Christian Academy,,129,2:14.70,Richard Hoover,Park Hill,,129,23.83,"John (JP) Costello, Jr",Chaminade College Prep,,129,59.66,Andrew Dolan,De Smet Jesuit,,129,52.70,Seth Augustine,Liberty North,,129,5:33.75,Benjamin Hanson,Hickman,,,,,,129,1:02.57,William Townsend,Rockhurst,,129,1:09.78,Coleman Leuthen,Oakville,,,,,
,,,,130,1:59.06,Carson Mais,Lindbergh,,130,2:15.24,Grisham Gutshall,Platte County,,130,23.83,Cole Rennels,Eureka,,130,59.67,Cooper Salvia,Pattonville,,130,52.72,Miles Grisell,Pembroke Hill,,130,5:33.75,Ryan Demargel,Webster Groves,,,,,,130,1:02.61,Serkan Patterson,Parkway Central,,130,1:10.09,Gabriel Ahlers,Chaminade College Prep,,,,,
,,,,131,1:59.18,Ian Bergin,Liberty,,131,2:15.50,Alexander Foot,Park Hill South,,131,23.84,Zachary Hallemann,Lindbergh,,131,59.67,Caleb Hardee,Rockwood Summit,,131,52.81,Tavin Nachlinger,Park Hill South,,,,,,,,,,,131,1:02.61,Connor Wiggs,Poplar Bluff,,131,1:10.11,Trevor Bundy,Liberty North,,,,,
,,,,132,1:59.19,Matthew Gilles,Parkway South,,132,2:15.58,Myles Huey,Liberty,,132,23.84,Braeden Mallonee,Kearney,,132,59.68,Parker Hulshof,Notre Dame (Cape Girardeau),,132,52.82,Jayden Boyd,Ozark,,,,,,,,,,,132,1:02.63,Draven Koehmstedt,Washington,,132,1:10.16,Elijah Buxton,Grain Valley,,,,,
,,,,133,1:59.20,Anton Schuetz,Christian Brothers College,,133,2:15.60,Aiden Scholl,Smith-Cotton,,133,23.87,Miles Tomsic,Rockhurst,,133,59.77,Tanner Huelsmann,Parkway North,,133,52.82,Kristopher Cobb,Raymore-Peculiar,,,,,,,,,,,133,1:02.64,Parker Groves,SLUH,,133,1:10.27,Jack Hokanson,Platte County,,,,,
,,,,134,1:59.21,Kane Lueckenhoff,Capital City,,134,2:15.60,Edwards Tate,Rock Bridge,,134,23.87,Chase Bryant,Parkway Central,,134,59.83,Richard VanAntwerp,Central (Springfield),,134,52.83,Ryan Moore,MICDS,,,,,,,,,,,134,1:02.66,Adam Kress,Parkway Central,,134,1:10.46,Andrew Morelock,Francis Howell Central,,,,,
,,,,135,1:59.25,Harper Beffa,Staley,,135,2:15.64,Mark Yurkuns,Clayton,,135,23.87,Nicholas Voigt,Parkway North,,135,59.85,Hunter Johnson,Camdenton,,135,52.84,Sidney Ruth,Lincoln College Prep,,,,,,,,,,,135,1:02.70,Oliver Thompson,Webb City,,135,1:10.48,Finn Smith,Platte County,,,,,
,,,,136,1:59.36,Riley Tinsley,Battle,,136,2:15.65,Dylan DuBois,Staley,,136,23.88,Aidan Workman,Parkway North,,136,59.88,Casey O'Hara,Park Hill South,,136,52.86,Embry Collins,Hickman,,,,,,,,,,,136,1:02.79,Davis Foster,Rockhurst,,,,,,,,,,
,,,,137,1:59.39,Trey Burle,Missouri Military Academy,,137,2:15.68,Andrew Morelock,Francis Howell Central,,137,23.90,Rowan George,Monett,,137,59.88,Harper Beffa,Staley,,137,52.88,Nick Kim,Parkway Central,,,,,,,,,,,137,1:02.88,Christian Chang,John Burroughs,,,,,,,,,,
,,,,138,1:59.41,Jack Simms,Christian Brothers College,,138,2:15.69,Elijah Wisker,Timberland,,138,23.91,Hudson Tripp,Francis Howell,,138,59.89,Nick Kim,Parkway Central,,138,52.90,Joseph Schutte,Parkway South,,,,,,,,,,,138,1:02.96,Luke Bauer,Kirkwood,,,,,,,,,,
,,,,139,1:59.46,Jakob Brinkman,SLUH,,139,2:15.75,David Neier,Francis Howell,,139,23.91,Nathan Robbins,Francis Howell,,139,59.90,Ty McKinnis,Oak Park,,139,52.90,Evan Schmutz,Central (Springfield),,,,,,,,,,,139,1:02.99,Charlie Wang,Marquette,,,,,,,,,,
,,,,140,1:59.52,Ryosuke Kobayashi,Clayton,,140,2:15.94,Christian Chang,John Burroughs,,140,23.92,Shawn Gill,Lindbergh,,140,59.92,Logan Summers,Smithville,,140,52.90,Aidan Eastman,Lutheran St. Charles,,,,,,,,,,,140,1:03.11,Dylan Powers,John Burroughs,,,,,,,,,,
,,,,141,1:59.58,Jack Gillham,Glendale,,141,2:15.95,Samuel Oetting,Park Hill,,141,23.92,Evan Snarey,Monett,,141,59.93,Eli Mullen,Lutheran St. Charles,,141,52.93,Serkan Patterson,Parkway Central,,,,,,,,,,,141,1:03.18,Samuel Etherington,Ladue Horton Watkins,,,,,,,,,,
,,,,142,1:59.71,Alex Lin,Marquette,,142,2:16.00,Brady Scamman,Park Hill,,142,23.93,Samuel Voigt,Parkway North,,142,1:00.00,Jacob Corbett,SLUH,,142,52.93,Caleb Scott,Francis Howell North,,,,,,,,,,,142,1:03.25,Nathan Malt,Parkway Central,,,,,,,,,,
,,,,143,1:59.90,Kaenan Nickl,Lee's Summit West,,143,2:16.10,Andrew Byrd,Central (St. Joseph),,143,23.94,Trey Burle,Missouri Military Academy,,143,1:00.00,Arkadian Baumeister,Waynesville,,143,52.94,Calvin Mueller,Hannibal,,,,,,,,,,,143,1:03.27,Conner Osburn,Grain Valley,,,,,,,,,,
,,,,144,1:59.97,Gabriel Kramer,Rockwood Summit,,144,2:16.29,David Rohrer,Glendale,,144,23.94,Miles Grisell,Pembroke Hill,,144,1:00.06,Samuel Durnal,St. Francis Borgia,,144,52.96,Jackson Fisher,Lebanon,,,,,,,,,,,144,1:03.34,Jack Brothers,Rock Bridge,,,,,,,,,,
,,,,145,2:00.17,Connor Wiggs,Poplar Bluff,,145,2:16.38,Tyler Yates,SLUH,,145,23.95,Dev Desai,John Burroughs,,145,1:00.12,Barrett Mertens,Parkway North,,145,53.08,Crew Cronkhite,Glendale,,,,,,,,,,,145,1:03.45,Davis Johnson,John Burroughs,,,,,,,,,,
,,,,146,2:00.24,Clayton Tankersley,Smith-Cotton,,146,2:16.38,Hunter Johnson,Camdenton,,146,23.98,Andrew Riney,Chaminade College Prep,,146,1:00.16,Eliot Levine,Ladue Horton Watkins,,146,53.08,Dayton Smith,Lee's Summit,,,,,,,,,,,146,1:03.47,Alexander Foot,Park Hill South,,,,,,,,,,
,,,,147,2:00.52,Aidan Parker,Summit Christian Academy,,147,2:16.55,John Claxton,Rockhurst,,147,24.00,Hunter Deutschmann,Parkway Central,,147,1:00.22,Kolton Evans,Nevada,,147,53.10,Colin Teson,St. Pius X (Kansas City),,,,,,,,,,,147,1:03.55,Arkadian Baumeister,Waynesville,,,,,,,,,,
,,,,148,2:00.60,Richard Hoover,Park Hill,,148,2:16.59,Gavin Cook,Central (St. Joseph),,148,24.03,Luke Purcell,John Burroughs,,148,1:00.29,Trevor Bundy,Liberty North,,148,53.16,Kyle Stephan,Marquette,,,,,,,,,,,148,1:03.60,Dallas York,Lee's Summit West,,,,,,,,,,
,,,,149,2:00.65,William Lawrence,Central (Cape Girardeau),,149,2:16.62,Josh Caleb Ople,Parkway West,,149,24.04,Carter Reece,Blue Springs South,,149,1:00.54,Charlie Wang,Marquette,,149,53.21,Conner Osburn,Grain Valley,,,,,,,,,,,149,1:03.66,Jackson Judd,Lee's Summit West,,,,,,,,,,
,,,,,,,,,150,2:16.73,Mason Naseem,Liberty,,150,24.05,Joaquin Cervantes Ramirez,Poplar Bluff,,150,1:00.60,Jackson Schmutz,Francis Howell Central,,150,53.21,Carter Reece,Blue Springs South,,,,,,,,,,,150,1:03.70,Cole Knernschield,Liberty North,,,,,,,,,,
,,,,,,,,,151,2:16.89,Charlie Schlotzhauer,Lee's Summit West,,151,24.10,Eliot Levine,Ladue Horton Watkins,,151,1:00.72,Tyler Scheidler,Marquette,,151,53.21,Ethan Melson,Eureka,,,,,,,,,,,151,1:03.76,Seth Augustine,Liberty North,,,,,,,,,,
,,,,,,,,,152,2:16.90,Connor Jensen,Liberty North,,152,24.12,Calum McCarthy,Lee's Summit,,152,1:00.76,Derek Heitz,Lee's Summit,,152,53.21,John Laird,Kirkwood,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,153,2:16.96,Kaenan Nickl,Lee's Summit West,,153,24.14,Tyler He,Clayton,,153,1:00.80,Benjamin Honson,Central (St. Joseph),,153,53.22,Ford Werner,MICDS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,154,2:16.98,Benjamin Honson,Central (St. Joseph),,154,24.15,Fraser Dale,Marquette,,154,1:00.88,Giovanni (Gio) Bucci,Chaminade College Prep,,154,53.28,Dev Desai,John Burroughs,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,155,2:17.01,Reed King,Eureka,,155,24.16,Joseph Schutte,Parkway South,,155,1:00.88,Justin Truong,Oak Park,,155,53.30,Hayden Hough,Hillcrest,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,156,2:17.02,Thomas (Tommy) Fichter,Chaminade College Prep,,156,24.17,"Thomas Rander, IV",Parkway West,,156,1:00.92,Dev Desai,John Burroughs,,156,53.32,Kevin He,Ladue Horton Watkins,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,157,2:17.04,Daniel Peterson,MICDS,,157,24.17,Jackson Brinton,Ladue Horton Watkins,,157,1:00.95,Davis Johnson,John Burroughs,,157,53.38,Logan Summers,Smithville,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,158,2:17.09,Cole Rennels,Eureka,,158,24.17,Alexander Webb,Parkway West,,158,1:00.96,Johnny Duncan,Liberty,,158,53.45,David Miller,Kirkwood,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,159,2:17.14,Hayden Hough,Hillcrest,,159,24.17,Parker Hays,Poplar Bluff,,159,1:01.02,Yaseen Hassan,Lee's Summit West,,159,53.46,Jackson Ringhofer,Parkway West,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,160,2:17.15,Charles Sicking,Parkway Central,,160,24.17,Kent Sheridan,Central (Cape Girardeau),,160,1:01.12,Charles Sicking,Parkway Central,,160,53.48,Draven Koehmstedt,Washington,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,161,2:17.23,Peyton Dimmock,Parkway Central,,161,24.19,Jack Gillham,Glendale,,161,1:01.13,Owen Bland,Rockhurst,,161,53.52,Anton Schuetz,Christian Brothers College,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,162,2:17.28,Nash Wiles,Lee's Summit,,162,24.19,Beau Jonkman,Platte County,,162,1:01.14,Rylan Brieler,Rockwood Summit,,162,53.54,Parker Hays,Poplar Bluff,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,163,2:17.33,John Salido,Rockhurst,,163,24.19,Braydon Weggemann,St. Francis Borgia,,163,1:01.16,Kellan Nash,Lee's Summit West,,163,53.57,Ethan Dubbert,Rock Bridge,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,164,2:17.37,Xavier Gaul,Rockhurst,,,,,,,164,1:01.22,Landon Gillis,Lee's Summit West,,164,53.59,Charles Hake,Vianney,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,165,2:17.45,Ethan Arana,Pattonville,,,,,,,165,1:01.26,Connor Jensen,Liberty North,,165,53.60,Grisham Gutshall,Platte County,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,166,2:17.51,Davis Foster,Rockhurst,,,,,,,166,1:01.33,Lucien Doyon,Rockwood Summit,,166,53.61,Aidan Brennan,Clayton,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,167,2:17.51,Trace Gould,Nevada,,,,,,,167,1:01.38,Winston Rees,Parkway Central,,167,53.63,Davis Johnson,John Burroughs,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,168,2:17.97,John Ward,Staley,,,,,,,168,1:01.39,Ethan Melson,Eureka,,168,53.64,Jan Handke,Jackson,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,169,2:18.06,Trevor Sifers,Rockhurst,,,,,,,169,1:01.42,Ronan Waters,Park Hill,,169,53.66,Jack Gillham,Glendale,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,170,2:18.07,Zackary Brower,Pattonville,,,,,,,170,1:01.46,Kashi Chaudhuri,De Smet Jesuit,,170,53.71,Ronan Waters,Park Hill,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,171,1:01.49,Trace Gould,Nevada,,171,53.76,Owen Bland,Rockhurst,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172,1:01.71,Rainier Realina,Park Hill,,172,53.76,Matthew Warren,Rockhurst,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,173,1:01.71,Arlo Ziolkowski,Ladue Horton Watkins,,173,53.82,Ethan Evans,Kirkwood,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,174,1:01.72,John Claxton,Rockhurst,,174,53.84,Hunter Odom,Glendale,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,175,1:01.80,Jackson Ringhofer,Parkway West,,175,53.84,Luke Breed-Furguson,Hickman,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,176,1:01.80,Daniel Haid,Hickman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,177,1:01.81,William Townsend,Rockhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,178,1:01.82,Daniel Peterson,MICDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
